,Organization.Name,Reference.ID,Solicitation.No.,Notice.Title,Publish.Date,Classification,Notice.Type,Business.Category,Funding.Source,Funding.Instrument,Procurement.Mode,Trade.Agreement,Approved.Budget.of.the.Contract,Area.of.Delivery,Contract.Duration,Calendar.Type,Line.Item.No,Item.Name,Item.Desc,Quantity,UOM,Item.Budget,PreBid.Date,Closing.Date,Notice.Status,Award.No.,Award.Title,Award.Type,UNSPSC.Code,UNSPSC.Description,Awardee.Corporate.Title,Contract.Amount,Contract.No,Publish.Date.Award.,Award.Date,Notice.to.Proceed.Date,Contract.Efectivity.Date,Contract.End.Date,Reason.for.Award,Award.Status
252361,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5633995,Survey Module Lot 6-11-AL-2018 (NL),REQUEST FOR EXPRESSION OF INTEREST FOR SUBDIVISION SURVEY OF MODULES FOR NEW LANDS IN NINE (9) MUNICIPALITIES OF THE PROVINCE OF ALBAY,9/14/2018,Consulting Services,Request for Expression of Interest,Consulting Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,536,923.60",Albay,90,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,9/24/2018,9/25/2018,Failed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253836,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5635293,BAC 18-339 PBDD,APCP Year End Assessment and Planning Workshop,9/14/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"136,500.00",Albay,2,Day/s,1,APCP Year End Assessment and Planning Workshop,Food and Accommodation,1,Package,"136,500.00",NULL,9/17/2018,Awarded,2036010,APCP Year End Assessment and Planning Workshop,Award Notice,90110000,Hotels and lodging and meeting facilities,KOUZINA TYCHE SEAFOOD RESTAURANT,"132,925.00",18-339 PBDD,10/24/2018,10/16/2018,10/16/2018,11/7/2018,11/8/2018,LCRB,Updated
253871,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5635328,BAc 18-266 PBDD,Starter Kit (LARGE WHITE PIGLETS) on Diversified Farming with Livestock Components,9/14/2018,Goods,Request for Quotation (RFQ),"Live Animals (Livestock, Birds, Live fish & etc..)",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"60,000.00",Albay,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/17/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286023,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5657672,Farm Machineries under major crops,Bidding of Farm Machineries under Major Crop-Based Block Farm productivity Enhancement,9/25/2018,Goods,Invitation to Bid (ITB),Machine Tools,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,250,000.00",Albay,15,Day/s,1,Farm Machineries,Processing Equpment,1,Package,"1,250,000.00",10/2/2018,10/3/2018,Awarded,2141338,Farm Machineries,Award Notice,27000000,Tools and General Machinery,"P.I. FARM PRODUCTS, INC.","1,239,392.00",major Crop Farm Machineries,1/16/2019,11/27/2018,12/21/2018,1/11/2019,2/11/2019,LCRB,Updated
286150,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5657786,Muscovado Processing Equipment,Bidding of Muscovado Processing Equipment Under Sugarcane Block Farming Project,9/25/2018,Goods,Invitation to Bid (ITB),Food Processing Equipment,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"784,000.00",Albay,45,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,10/2/2018,10/3/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291351,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5661526,BAC 18-266 PBDD,Starter Kit (LARGE WHITE PIGLETS) on Diversified Farming with Livestock Components,9/26/2018,Goods,Request for Quotation (RFQ),"Live Animals (Livestock, Birds, Live fish & etc..)",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"60,000.00",Albay,30,Day/s,1,Livestock Components,20 heads (Piglet),20,Piece,"60,000.00",NULL,10/1/2018,Awarded,2153946,Livestock Components,Award Notice,10100000,Live animals,MANZIHING CORPORATION,"60,000.00",Livestock Components,1/23/2019,1/23/2019,12/28/2018,12/28/2018,1/28/2019,LCRB,Updated
291461,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5661569,BAC 18-247 PBDD,Starter Kit (Animal Feeds) for Diversified Farming with Livestocks Component,9/26/2018,Goods,Request for Quotation (RFQ),Animal Feeds,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"62,000.00",Albay,30,Day/s,1,Animal Feeds,*Pre-Starter Kit *Starter Kit *Hog Grower,1,Package,"62,000.00",NULL,10/1/2018,Awarded,2101978,Animal Feeds,Award Notice,10120000,Animal feed,MANZIHING CORPORATION,"60,185.00",18-274 PBDD,12/17/2018,11/15/2018,11/15/2018,11/15/2018,12/15/2018,LCRB,Updated
291504,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5661611,BAC 18 265 PBDD,Farmers Facilitators Training 2,9/26/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"157,000.00",Albay,3,Day/s,1,Farmers Facilitators Training 2,Food and Accommodation,1,Package,"157,000.00",NULL,10/1/2018,Awarded,2036078,Farmers Facilitators Training 2,Award Notice,90110000,Hotels and lodging and meeting facilities,NINONG HOTEL,"155,750.00",18-265 PBDD,10/24/2018,10/16/2018,10/16/2018,10/24/2018,10/26/2018,LCRB,Updated
291540,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5661649,BAC 18-266 PBDD,Farmers Facilitators Training 3,9/26/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"157,500.00",Albay,3,Day/s,1,Farmers Facilitators Training 3,Food and Accommodation,1,Package,"157,500.00",NULL,10/1/2018,Awarded,2102188,Farmers Facilitators Training 3,Award Notice,90110000,Hotels and lodging and meeting facilities,NINONG HOTEL,"155,750.00",18-266 PBDD,12/17/2018,11/5/2018,12/5/2018,12/5/2018,12/6/2018,LCRB,Updated
301426,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5669056,Bac 18-261 STO,Agency Identification Card and Agency Pin,9/28/2018,Goods,Request for Quotation (RFQ),Photography Services,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"70,650.00",Albay,30,Day/s,1,Labor and materials for DARPO Albay I.D and Seal B,I.D and Seal Button Pin,157,Piece,"70,650.00",NULL,10/1/2018,Awarded,2176692,Labor and materials for DARPO Albay I.D and Seal B,Award Notice,45000000,Printing and Photographic and Audio and Visual Equipment and Supplies,SKYLARK GRAPHICS SOLUTIONS,"69,865.00",18-09-0665,2/4/2019,2/4/2019,12/21/2018,12/21/2018,1/21/2019,LCRB,Updated
1845,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5672321,BAC 18-294 PBDD,Starter Kit (Hybrid Rice Seeds) for Major Crops Based Block Farm Productivity Enhancement,10/1/2018,Goods,Request for Quotation (RFQ),"Agricultural Products (Seeds, Seedlings, Plants..)",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"85,000.00",Albay,15,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/4/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1860,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5672385,BAC 18-470 PARAD,ALS Forward Estimates Planning Conference,10/1/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"62,500.00",Albay,2,Day/s,1,ALS Forward Estimates Planning Conference,Food and Accommodation,1,Package,"62,500.00",NULL,10/4/2018,Awarded,2029971,ALS Forward Estimates Planning Conference,Award Notice,90110000,Hotels and lodging and meeting facilities,HOTEL ST. ELLIS,"62,500.00",18-471 PARAD,10/19/2018,10/5/2018,10/8/2018,10/8/2018,10/9/2018,LCRB,Updated
1902,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5672555,BAC 18-473 PBDD,SBF Learning Infusion in Tarlac,10/1/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"88,000.00",Tarlac,3,Day/s,1,Learning Infusion to Succesful Sites in Tarlac Cit,Food and Accommodation,1,Package,"88,000.00",NULL,10/4/2018,Awarded,2102770,Learning Infusion to Succesful Sites in Tarlac Cit,Award Notice,90110000,Hotels and lodging and meeting facilities,"JM2 BARON, INC.","88,000.00",18-473 PBDD,12/17/2018,11/5/2018,11/5/2018,11/6/2018,11/8/2018,SCRB,Updated
1904,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5672562,BAC 18-471 Legal,Re-Echo on Cascading Workshop of Lates DAR Administrative Issuances,10/1/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"160,000.00",Albay,2,Day/s,1,Re-Echo on Cascading Workshop of Lates DAR Adminis,Food and Accommodation,1,Package,"160,000.00",NULL,10/4/2018,Awarded,2036047,Re-Echo on Cascading Workshop of Lates DAR Adminis,Award Notice,90110000,Hotels and lodging and meeting facilities,NINONG HOTEL,"159,000.00",18-471 Legal,10/24/2018,10/16/2018,10/16/2018,10/18/2018,10/19/2018,LCRB,Updated
1917,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5672567,BAC 18-474 Legal,Joint Legal and PARAD Year End Performance Evaluation and 2019 Strategic Planning,10/1/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"120,000.00",Albay,3,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/4/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1926,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5672598,BAC 18-293 PBDD,Materials for the Enhancement of TFPASI Processing Center under VLFED,10/1/2018,Goods,Request for Quotation (RFQ),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"300,000.00",Albay,30,Day/s,1,TFPASI Processing center,Enhancement Construction supply,1,Package,"300,000.00",NULL,10/4/2018,Awarded,2067276,TFPASI Processing center,Award Notice,30000000,Structures and Building and Construction and Manufacturing Components and Supplies,AIKEN TRADING,"150,009.50",18-293 PBDD,11/21/2018,10/23/2018,10/23/2018,10/23/2018,10/23/2018,LCRB,Updated
1931,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5672604,BAC 18-292 PBDD,Materials for the Enhancement of BACODECO Vermi Compost Fertilizer Storage Facility under VLFED,10/1/2018,Goods,Request for Quotation (RFQ),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"200,000.00",Albay,30,Day/s,1,BACODECO Vermi Compost,Enhancement construction materials,1,Package,"200,000.00",NULL,10/4/2018,Awarded,2067291,BACODECO Vermi Compost,Award Notice,30000000,Structures and Building and Construction and Manufacturing Components and Supplies,ROCHE LUMBER & CONSTRUCTION SUPPLY,"194,259.80",18-292 PBDD,11/21/2018,10/23/2018,10/23/2018,10/23/2018,11/23/2018,LCRB,Updated
1935,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5672622,BAC 18-291 PBDD,Materials for the Enhancement of IWA Drying/Storing/Display Center under VLFED,10/1/2018,Goods,Request for Quotation (RFQ),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"210,322.75",Albay,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/4/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17200,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5683869,Survey Module Lot 6-11-AL-2018 (NL),SUBDIVISION SURVEY OF MODULES FOR NEW LANDS IN NINE (9) MUNICIPALITIES OF THE PROVINCE OF ALBAY (2ND POSTING),10/4/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,536,923.60",Albay,90,Day/s,1,Lot 6-AL-2018 (NL),Ligao & Manito,105,Hectare,"475,860.60",10/16/2018,10/17/2018,Awarded,2176964,Lot 6-AL-2018 (NL),Award Notice,81000000,Engineering and Research and Technology Based Services,LPC ENGINEERING SERVICES,"475,206.00",Lot 6,2/4/2019,2/4/2019,1/31/2019,1/31/2019,2/28/2019,LCRB,Updated
17201,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5683869,Survey Module Lot 6-11-AL-2018 (NL),SUBDIVISION SURVEY OF MODULES FOR NEW LANDS IN NINE (9) MUNICIPALITIES OF THE PROVINCE OF ALBAY (2ND POSTING),10/4/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,536,923.60",Albay,90,Day/s,2,Lot 7-AL-2018 (NL),Guinobatan,103,Hectare,"464,115.60",10/16/2018,10/17/2018,Awarded,2176965,Lot 7-AL-2018 (NL),Award Notice,81000000,Engineering and Research and Technology Based Services,LPC ENGINEERING SERVICES,"452,706.00",Lot 7,2/4/2019,2/4/2019,1/31/2019,1/31/2019,2/28/2019,LCRB,Updated
17202,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5683869,Survey Module Lot 6-11-AL-2018 (NL),SUBDIVISION SURVEY OF MODULES FOR NEW LANDS IN NINE (9) MUNICIPALITIES OF THE PROVINCE OF ALBAY (2ND POSTING),10/4/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,536,923.60",Albay,90,Day/s,3,Lot 8-AL-2018 (NL),"Malinao, Oas, Legazpi, Pioduran",85,Hectare,"384,069.60",10/16/2018,10/17/2018,Awarded,2176966,Lot 8-AL-2018 (NL),Award Notice,81000000,Engineering and Research and Technology Based Services,LPC ENGINEERING SERVICES,"374,826.00",Lot 8,2/4/2019,2/4/2019,1/31/2019,1/31/2019,2/28/2019,LCRB,Updated
17203,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5683869,Survey Module Lot 6-11-AL-2018 (NL),SUBDIVISION SURVEY OF MODULES FOR NEW LANDS IN NINE (9) MUNICIPALITIES OF THE PROVINCE OF ALBAY (2ND POSTING),10/4/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,536,923.60",Albay,90,Day/s,4,Lot 9-AL-2018 (NL),"Libon, Tabaco",81,Hectare,"364,755.60",10/16/2018,10/17/2018,Awarded,2176967,Lot 9-AL-2018 (NL),Award Notice,81000000,Engineering and Research and Technology Based Services,LPC ENGINEERING SERVICES,"364,266.00",Lot 9,2/4/2019,2/4/2019,1/31/2019,1/31/2019,2/28/2019,LCRB,Updated
17204,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5683869,Survey Module Lot 6-11-AL-2018 (NL),SUBDIVISION SURVEY OF MODULES FOR NEW LANDS IN NINE (9) MUNICIPALITIES OF THE PROVINCE OF ALBAY (2ND POSTING),10/4/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,536,923.60",Albay,90,Day/s,5,Lot 10-AL-2018 (NL),Guinobatan,87,Hectare,"392,376.60",10/16/2018,10/17/2018,Awarded,2176968,Lot 10-AL-2018 (NL),Award Notice,81000000,Engineering and Research and Technology Based Services,LPC ENGINEERING SERVICES,"392,136.00",Lot 10,2/4/2019,2/4/2019,1/31/2019,1/31/2019,2/28/2019,LCRB,Updated
17205,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5683869,Survey Module Lot 6-11-AL-2018 (NL),SUBDIVISION SURVEY OF MODULES FOR NEW LANDS IN NINE (9) MUNICIPALITIES OF THE PROVINCE OF ALBAY (2ND POSTING),10/4/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,536,923.60",Albay,90,Day/s,6,Lot 11-AL-2018 (NL),Guinobatan,101,Hectare,"455,745.60",10/16/2018,10/17/2018,Awarded,2176969,Lot 11-AL-2018 (NL),Award Notice,81000000,Engineering and Research and Technology Based Services,LPC ENGINEERING SERVICES,"455,106.00",Lot 11,2/4/2019,2/4/2019,1/31/2019,1/31/2019,2/28/2019,LCRB,Updated
30529,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5692332,BAC 18-294 PBDD,Starter Kit (In-Breed Rice Seeds (222)) for Major Crops Based Block Farm Productivity Enhancement,10/8/2018,Goods,Request for Quotation (RFQ),"Agricultural Products (Seeds, Seedlings, Plants..)",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"85,000.00",Albay,15,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/11/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30540,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5692379,BAC 18-295 PBDD,"Starter Kit (Knapsack Sprayer, Rake, Shovel) for Major Crops Based Block Farm Productivity Enhancement",10/8/2018,Goods,Request for Quotation (RFQ),Agricultural Machinery and Equipment,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"85,500.00",Albay,15,Day/s,1,Starter Kit/Basic Farm Tools (Major Crop),16 Liters Stainless Knapsack Sprayer *Rake *Spade Shove,1,Package,"85,500.00",NULL,10/11/2018,Awarded,2102125,Starter Kit/Basic Farm Tools (Major Crop),Award Notice,21000000,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,MANZIHING CORPORATION,"81,950.00",18-295 PBDD,12/17/2018,11/15/2018,11/15/2018,11/15/2018,12/15/2018,LCRB,Updated
30551,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5692416,BAC 18-297 PBDD,"To Hire Two (2) airconditioned Van for Learning Infusion to Succesful Sites in Tarlac City on November 5,6,7,8 and 9, 2018",10/8/2018,Goods - General Support Services,Request for Quotation (RFQ),Transportation and Communications Services,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"80,000.00",Albay,5,Day/s,1,Learning Infusion to Succesful Sites in Tarlac Cit,Hiring of Van,2,Unit,"80,000.00",NULL,10/11/2018,Awarded,2035957,Learning Infusion to Succesful Sites in Tarlac Cit,Award Notice,78111812,Vehicle leasing of passenger vans or minivans,AOL TRAVEL &AMP; TOURS (NATIONAL),"74,000.00",18-297 PBDD,10/24/2018,10/16/2018,10/16/2018,11/5/2018,11/9/2018,LCRB,Updated
40518,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5700603,Bac 18-310 PBDD,Labor and Materials for the Enhancement of Muscovado Processing Center,10/10/2018,Goods - General Support Services,Request for Quotation (RFQ),Construction Projects,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"640,000.00",Albay,2,Month/s,1,GALUDA Processing center,Labor and Materials for Enhancement,1,Package,"640,000.00",NULL,10/15/2018,Awarded,2067336,GALUDA Processing center,Award Notice,72000000,Building and Facility Construction and Maintenance Services,HILRACO CONSTRUCTION & SUPPLIES,"638,320.38",18-310 PBDD,11/21/2018,10/25/2018,10/25/2018,10/25/2018,12/25/2018,LCRB,Updated
60952,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5713092,BAC 18-311 PBDD,Muscovado processing Equipment for KDFA under SBF project,10/15/2018,Goods,Request for Quotation (RFQ),Agricultural Machinery and Equipment,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"843,000.00",Albay,30,Day/s,1,Kinuartelan Muscovado Equipment,Processing Equpment,1,Package,"843,000.00",NULL,10/18/2018,Awarded,2102501,Kinuartelan Muscovado Equipment,Award Notice,23000000,Industrial Manufacturing and Processing Machinery and Accessories,ARIM'S MUSCOVADO MILLING FACILITY,"814,500.00",18-311 PBDD,12/17/2018,12/11/2018,12/11/2018,12/11/2018,1/11/2019,SCRB,Updated
89015,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5734821,BAC 18-312 PBDD,Labor and Materials for the Enhancement of Muscovado Processing Center (KDFA),10/22/2018,Goods - General Support Services,Request for Quotation (RFQ),Construction Projects,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"640,000.00",Albay,60,Day/s,1,KDFA Processing Center,Labor and Materials for Enhancement,1,Package,"640,000.00",NULL,10/25/2018,Awarded,2067443,KDFA Processing Center,Award Notice,72000000,Building and Facility Construction and Maintenance Services,CAPELLAN MEGA CONSTRUCTION COMPANY,"602,850.27",18-312 PBDD,11/21/2018,10/26/2018,10/26/2018,10/26/2018,12/26/2018,LCRB,Updated
104347,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5747439,BAC 18-308A PARAD,"Ink Cart, Epson for PARAD",10/25/2018,Goods,Request for Quotation (RFQ),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),General Appropriations Act,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Implementing Rules and Regulations,"51,143.07",Albay,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/29/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163177,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5787361,Bac18-294 PBDD,Starter Kit (In-Breed Rice Seeds (222)) for Major Crops Based Block Farm Productivity Enhancement,11/9/2018,Goods,Request for Quotation (RFQ),"Agricultural Products (Seeds, Seedlings, Plants..)",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"130,350.00",Albay,15,Day/s,1,In-Breed Rice Seeds,37289,79,Sack,"130,350.00",NULL,11/12/2018,Awarded,2102224,In-Breed Rice Seeds,Award Notice,10150000,Seeds and bulbs and seedlings and cuttings,CAMSUR MULTI-PURPOSE COOPERATIVE,"129,955.00",18-294 PBDD,12/17/2018,11/15/2018,11/15/2018,11/15/2018,12/15/2018,LCRB,Updated
164720,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5788417,BAC 18-334 PBDD,"To Hire Two (2) airconditioned Van for Learning Visit to SBFP Sites in Batangas City on November 26-30, 2018",11/9/2018,Goods - General Support Services,Request for Quotation (RFQ),Transportation and Communications Services,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"90,000.00",Albay,5,Day/s,1,Service Vehicle during Learning Visits to SBF site,Service Vehicle,2,Unit,"90,000.00",NULL,11/12/2018,Awarded,2153722,Service Vehicle during Learning Visits to SBF site,Award Notice,78140000,Transport services,LEMON MJM  TRANSPORT SERVICE,"71,998.00",SBF Batangas,1/23/2019,1/23/2019,11/19/2018,11/26/2018,11/30/2018,LCRB,Updated
164800,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5788465,BAC 18 478 PBDD,"Food and Accommodtion for the Learning Visit to SBFP Sites in Batangas on November 26-30, 2018",11/9/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"128,000.00",Batangas,4,Day/s,1,Learning Infusion to Succesful Sites in Batangas,Food and Accommodation,1,Package,"128,000.00",NULL,11/12/2018,Awarded,2102974,Learning Infusion to Succesful Sites in Batangas,Award Notice,90110000,Hotels and lodging and meeting facilities,"REAL DEVELOPMENT CO., INC.","128,000.00",18-478 PBDD,12/17/2018,11/23/2018,11/23/2018,11/26/2018,11/30/2018,SCRB,Updated
164910,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5788541,BAC 18-480 PBDD,Food and Accommodation for SBF Project Evaluation Assessment,11/9/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"96,000.00",Albay,2,Day/s,1,SBF Project Evaluation Assessment,Food and Accommodation,30,Piece,"96,000.00",NULL,11/12/2018,Awarded,2183111,SBF Project Evaluation Assessment,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,"CASA BASILISA, INC.","91,200.00",5788541,2/8/2019,2/8/2019,12/18/2018,12/18/2018,12/19/2018,LCRB,Updated
